uuid;full_name;phone;country;city
b5f278ea-1298-43ff-b901-8c7695c6b55d;Bethany Ashworth;5943107257;Kenya;Isiolo
1ea53ba4-9844-4e57-9c0d-01408c05ccd2;Addy Carff;;Tanzania;Rulenge
9ab661ef-2037-46ab-b742-9afb35d1731b;Leoline Prescot;;Tanzania;Sirari
3e02834a-9aa2-4774-bf5d-b052bc055232;Alexandros Foulis;7701379838;Tanzania;Ilongero
de4777da-926c-4785-8b93-f95f22c044c8;Niall Kinghorne;;Tanzania;Mbinga
50f5be89-0f47-456c-8e9e-e8d5e1dc2182;Angil Antonomolii;2511361726;Ethiopia;Tippi
77fc1954-18c5-4435-bb45-a158d5ccc1f8;Marice Cantwell;;Ethiopia;Mīzan Teferī
904d39fe-4dd1-482b-8c92-4ce549f6e6d4;Yalonda Stroyan;4493235713;Ethiopia;Asaita
39813d89-b0d1-4712-9b39-84ff1e72cdf2;Broddy Bulteel;;Tanzania;Ushirombo
247f4164-22b6-4510-88cd-b52edb4d5dd7;Nesta Braitling;9776519399;Kenya;Litein
0d054e28-89c4-420f-848b-b9821e4cacaa;Rosette Tomashov;;Tanzania;Ngudu
79a6745d-5b2c-4950-9da0-538d43afed23;Killian Mazzei;5622244714;Tanzania;Kibiti
23252595-1c40-4c3d-8f43-be76abf4588c;Raynell Jorin;9424394932;Ethiopia;Leku
073e0359-9126-44e0-aeae-b1a6ddd98c7a;Elli Watford;2318232313;Ethiopia;Konso
44716fa1-680a-48c3-a2a8-1d3af9e15261;Dulcine Cotterrill;;Ethiopia;Felege Neway
2108f7ed-ccd8-44e2-917a-ba6175240bcd;Tito Antham;3816074943;Ethiopia;Debre Mark’os
537d96e7-7b23-4fc3-bf69-bb1303924ccb;Dayle Handover;3318289055;Tanzania;Uwelini
156b7f4f-c90c-4973-9714-7d160e28444c;Orson Whartonby;6393642102;Tanzania;Lindi
4670f30d-ab03-4854-8a3b-128c2c263d5a;Diandra Balsellie;5008446484;Tanzania;Katoro
4bee4905-d96b-4378-a694-876ccfd7ebfd;Rochell Schult;8096286040;Kenya;Kipini
9b087c6a-5fe1-4282-bbbf-e5a2c3e7da36;Elinor Ahern;5763879367;Tanzania;Mtwara
b4d9b6d0-859e-4192-83ff-79624a718768;Saunder Kineton;7842782627;Tanzania;Majengo
cb57ea43-4c86-4666-9526-3a988de5e803;Nerissa Yitshak;7556769642;Kenya;Kitui
782cffae-72d1-4cad-8fba-b4ec126f7eb7;Philly Elliff;3019075306;Kenya;Kisumu
